Word,Document Frequency,Term Frequency,Postings
academ,19,21,"['ADM 3357', 'ADM 4357', 'PSY 3174', 'PSY 6127', 'PSY 6927', 'MAT 9900', 'MAT 9901', 'MAT 9902', 'MAT 9903', 'MAT 9904', 'MAT 9905', 'MAT 9906', 'MAT 9907', 'MAT 9908', 'MAT 9909', 'MAT 9910', 'MAT 9911', 'MAT 9912', 'MAT 9913']"
acadã©miqu,1,1,['MAT 9904']
acceler,2,2,"['ADM 6275', 'ADM 6287']"
access,6,6,"['CSI 3130', 'CSI 5105', 'CSI 5148', 'CSI 5169', 'CSI 5173', 'CSI 5380']"
accid,1,1,['ADM 4336']
accompani,3,3,"['PSY 5121', 'PSY 6105', 'PSY 7101']"
account,17,27,"['ADM 1340', 'ADM 1370', 'ADM 2341', 'ADM 2342', 'ADM 2352', 'ADM 3340', 'ADM 3346', 'ADM 4340', 'ADM 4342', 'ADM 4345', 'ADM 4346', 'ADM 4348', 'ADM 5341', 'ADM 5342', 'ADM 5352', 'ADM 6340', 'ADM 6342']"
accultur,1,1,['ADM 3319']
accumul,1,1,['ADM 3346']
achiev,3,3,"['ADM 6330', 'PSY 3109', 'PSY 4127']"
acquaint,1,1,['PSY 6113']
acquir,4,5,"['ADM 3363', 'ADM 4339', 'ADM 4340', 'PSY 4310']"
acquisit,12,12,"['ADM 3350', 'ADM 3379', 'ADM 4318', 'ADM 4329', 'ADM 4352', 'PSY 3136', 'PSY 3377', 'PSY 4310', 'PSY 6144', 'PSY 6145', 'PSY 6941', 'PSY 6945']"
across,9,9,"['ADM 3302', 'ADM 6281', 'PSY 2174', 'PSY 3126', 'PSY 4122', 'PSY 4372', 'PSY 7107', 'PSY 7907', 'CSI 3120']"
action,7,7,"['ADM 4317', 'ADM 6321', 'PSY 6155', 'PSY 6954', 'MAT 4143', 'MAT 5142', 'CSI 5128']"
activ,15,17,"['ADM 3352', 'ADM 3357', 'ADM 3998', 'ADM 4325', 'ADM 4339', 'ADM 4357', 'ADM 6367', 'PSY 3108', 'PSY 3174', 'PSY 3377', 'PSY 4327', 'PSY 5424', 'PSY 6118', 'PSY 6918', 'CSI 5167']"
activitã©,1,3,['PSY 5824']
actual,1,1,['ADM 3313']
actuari,1,1,['MAT 4371']
ad,4,5,"['CSI 5128', 'CSI 5148', 'CSI 5169', 'CSI 5389']"
adapt,7,7,"['ADM 6261', 'ADM 6279', 'PSY 4174', 'PSY 4327', 'PSY 6134', 'PSY 6931', 'CSI 5390']"
addit,9,9,"['ADM 4322', 'ADM 6381', 'MAT 1303', 'MAT 1318', 'MAT 4126', 'MAT 4154', 'MAT 4171', 'MAT 4373', 'MAT 5149']"
address,15,15,"['ADM 1100', 'ADM 1101', 'ADM 1300', 'ADM 1301', 'ADM 3349', 'ADM 3379', 'ADM 4319', 'ADM 4325', 'ADM 4340', 'ADM 4341', 'ADM 4346', 'ADM 6274', 'ADM 6286', 'ADM 6326', 'CSI 9997']"
adjust,3,3,"['ADM 4318', 'ADM 6336', 'CSI 5121']"
